x,y,z
8.00000,3.00000,0.00000
8.00000,7.00000,0.00000
8.00000,8.00000,0.00000
8.00000,9.10870,0.00000
8.00000,10.00000,0.00000
8.00000,12.00000,0.00000
8.00000,14.00000,0.00000
8.00000,15.00000,0.00000
8.00000,17.00000,0.00000
8.00000,19.10940,0.00000
8.00000,20.00000,0.00000
8.00000,21.00000,0.00000
8.00000,24.00000,0.00000
8.00000,25.00000,0.00000
8.00000,26.00000,0.00000
8.00000,27.00000,0.00000
8.00000,28.00000,0.00000
8.00000,30.00000,0.00000
8.00000,31.00000,0.00000
8.00000,31.11170,0.00000
8.00000,32.00000,0.00000
8.00000,34.00000,0.00000
8.00000,35.00000,0.00000
8.00000,36.00000,0.00000
8.00000,37.00000,0.00000
8.00000,38.00000,0.00000
8.00000,39.00000,0.00000
8.00000,40.00000,0.00000
-1.00000,-1.00000,-136.00000
9.00000,0.00000,0.00000
9.00000,0.11310,0.00000
9.00000,3.00000,0.00000
9.00000,4.11340,0.00000
9.00000,5.00000,0.00000
9.00000,6.00000,0.00000
9.00000,8.11390,0.00000
9.00000,9.00000,0.00000
9.00000,10.00000,0.00000
9.00000,12.00000,0.00000
9.00000,13.00000,0.00000
9.00000,14.11460,0.00000
9.00000,15.00000,0.00000
9.00000,16.00000,0.00000
9.00000,17.11490,0.00000
9.00000,19.00000,0.00000
9.00000,21.00000,0.00000
9.00000,22.00000,0.00000
9.00000,23.00000,0.00000
9.00000,24.00000,0.00000
9.00000,25.11560,0.00000
9.00000,28.00000,0.00000
9.00000,31.00000,0.00000
9.00000,33.00000,0.00000
9.00000,37.00000,0.00000
9.00000,39.00000,0.00000
9.00000,40.11620,0.00000
-1.00000,-1.00000,-135.00000
12.00000,2.00000,0.00000
12.00000,4.00000,0.00000
12.00000,6.00000,0.00000
12.00000,8.00000,0.00000
12.00000,10.00000,0.00000
12.00000,12.00000,0.00000
12.00000,14.11870,0.00000
-1.00000,-1.00000,-134.00000
13.00000,1.00000,0.00000
13.00000,2.00000,0.00000
13.00000,3.00000,0.00000
13.00000,4.00000,0.00000
13.00000,5.00000,0.00000
13.00000,6.00000,0.00000
13.00000,7.00000,0.00000
13.00000,8.00000,0.00000
13.00000,9.00000,0.00000
13.00000,11.00000,0.00000
13.00000,12.00000,0.00000
13.00000,13.12080,0.00000
13.00000,14.00000,0.00000
14.00000,1.00000,0.00000
14.00000,2.00000,0.00000
14.00000,3.00000,0.00000
14.00000,4.00000,0.00000
14.00000,5.00000,0.00000
14.00000,6.00000,0.00000
14.00000,7.00000,0.00000
15.00000,2.00000,0.00000
15.00000,3.00000,0.00000
15.00000,4.00000,0.00000
15.00000,5.00000,0.00000
15.00000,6.00000,0.00000
-1.00000,-1.00000,-133.00000
-1.00000,-1.00000,-132.00000
-1.00000,-1.00000,-131.00000
-1.00000,-1.00000,-130.00000
-1.00000,-1.00000,-129.00000
-1.00000,-1.00000,-128.00000
-1.00000,-1.00000,-127.00000
-1.00000,-1.00000,-126.00000
-1.00000,-1.00000,-125.00000
-1.00000,-1.00000,-124.00000
-1.00000,-1.00000,-123.00000
-1.00000,-1.00000,-122.00000
-1.00000,-1.00000,-121.00000
-1.00000,-1.00000,-120.00000
17.00000,1.12550,0.00000
17.00000,1.12580,0.00000
17.00000,1.12610,0.00000
17.00000,1.12620,0.00000
17.00000,2.12630,0.00000
17.00000,2.12670,0.00000
17.00000,2.12690,0.00000
17.00000,3.12730,0.00000
17.00000,3.12800,0.00000
17.00000,3.12820,0.00000
